81718029,MCQ,What is  12(11|22) *  39(33|44),468,868649022,Unit 1 Test, 01-Nov-17,1, 123
81718029,MCQ,What is  13(11|22) *  34(33|44),442,851143703,Unit 1 Test, 01-Nov-19,1, 234
81718029,MCQ,What is  11(11|22) *  41(33|44),451,630122512,Unit 3 Test, 01-Dec-19,1, 123
81718029,MCQ,What is  22(11|22) *  43(33|44),946,51950134,Unit 4 Test, 9-Nov-19,1, 234
81718029,MCQ,What is  19(11|22) *  40(33|44),760,542902446,Unit 6 Test, 31-Dec-19,1, 234
81718029,MCQ,What is  11(11|22) *  43(33|44),473,805981263,Unit 10 Test, 01-Jan-18,1, 123
81718029,MCQ,What is  12(11|22) *  44(33|44),528,40982555,Unit 3 Test, 10-Nov-19,., 123
81718029,MCQ,What is  20(11|22) *  41(33|44),820,985779507,Unit 12 Test, 01-Mar-18,1, 123
81718029,MCQ,What is  15(11|22) *  35(33|44),525,929082625,Unit 13 Test, 19-Mar-19,1, 123
81718029,MCQ,What is  13(11|22) *  38(33|44),494,547379538,Unit 22 Test, 01-Apr-18,1, 123
